timestamp,x,y
1746584462.532,43.4049,-12.6707
1746584462.542,43.3792,-12.6710
1746584462.552,43.3535,-12.6712
1746584462.562,43.3279,-12.6715
1746584462.572,43.3022,-12.6717
1746584462.582,43.2766,-12.6720
1746584462.592,43.2509,-12.6723
1746584462.602,43.2253,-12.6725
1746584462.612,43.1996,-12.6728
1746584462.623,43.1719,-12.6759
1746584462.632,43.1462,-12.6761
1746584462.642,43.1205,-12.6763
1746584462.652,43.0948,-12.6765
1746584462.662,43.0691,-12.6767
1746584462.672,43.0434,-12.6769
1746584462.682,43.0177,-12.6770
1746584462.692,42.9920,-12.6772
1746584462.702,42.9663,-12.6773
1746584462.712,42.9405,-12.6774
1746584462.722,42.9148,-12.6775
1746584462.732,42.8891,-12.6776
1746584462.742,42.8635,-12.6778
1746584462.752,42.8378,-12.6779
1746584462.762,42.8121,-12.6780
1746584462.772,42.7864,-12.6781
1746584462.783,42.7608,-12.6782
1746584462.792,42.7351,-12.6783
1746584462.802,42.7095,-12.6785
1746584462.812,42.6838,-12.6785
1746584462.822,42.6582,-12.6787
1746584462.832,42.6326,-12.6788
1746584462.842,42.6069,-12.6788
1746584462.852,42.5813,-12.6789
1746584462.862,42.5557,-12.6790
1746584462.872,42.5301,-12.6791
1746584462.882,42.5045,-12.6792
1746584462.892,42.4789,-12.6793
1746584462.902,42.4533,-12.6793
1746584462.912,42.4278,-12.6793
1746584462.922,42.4022,-12.6793
1746584462.932,42.3766,-12.6793
1746584462.942,42.3511,-12.6793
1746584462.952,42.3255,-12.6792
1746584462.962,42.3000,-12.6790
1746584462.972,42.2745,-12.6789
1746584462.982,42.2490,-12.6787
1746584462.992,42.2236,-12.6785
1746584463.002,42.1981,-12.6783
1746584463.012,42.1727,-12.6780
1746584463.022,42.1473,-12.6778
1746584463.032,42.1219,-12.6774
1746584463.042,42.0965,-12.6771
1746584463.052,42.0711,-12.6768
1746584463.062,42.0458,-12.6765
1746584463.072,42.0204,-12.6763
1746584463.082,41.9951,-12.6760
1746584463.092,41.9698,-12.6757
1746584463.102,41.9445,-12.6754
1746584463.112,41.9192,-12.6752
1746584463.122,41.8905,-12.6690
1746584463.132,41.8651,-12.6686
1746584463.142,41.8398,-12.6683
1746584463.152,41.8145,-12.6679
1746584463.162,41.7893,-12.6675
1746584463.172,41.7640,-12.6671
1746584463.182,41.7388,-12.6666
1746584463.192,41.7135,-12.6662
1746584463.202,41.6883,-12.6656
1746584463.212,41.6632,-12.6651
1746584463.222,41.6380,-12.6646
1746584463.232,41.6128,-12.6640
1746584463.242,41.5877,-12.6634
1746584463.252,41.5626,-12.6628
1746584463.262,41.5375,-12.6622
1746584463.272,41.5124,-12.6615
1746584463.282,41.4873,-12.6609
1746584463.292,41.4623,-12.6602
1746584463.302,41.4372,-12.6595
1746584463.312,41.4122,-12.6588
1746584463.322,41.3872,-12.6580
1746584463.332,41.3622,-12.6572
1746584463.342,41.3372,-12.6564
1746584463.352,41.3122,-12.6556
1746584463.362,41.2872,-12.6548
1746584463.372,41.2623,-12.6539
1746584463.382,41.2374,-12.6530
1746584463.392,41.2125,-12.6520
1746584463.402,41.1876,-12.6511
1746584463.412,41.1627,-12.6501
1746584463.422,41.1378,-12.6492
1746584463.432,41.1130,-12.6481
1746584463.442,41.0881,-12.6471
1746584463.452,41.0633,-12.6460
1746584463.462,41.0386,-12.6449
1746584463.472,41.0138,-12.6438
1746584463.482,40.9891,-12.6426
1746584463.492,40.9644,-12.6414
1746584463.502,40.9397,-12.6401
1746584463.512,40.9150,-12.6389
1746584463.522,40.8904,-12.6376
1746584463.532,40.8657,-12.6362
1746584463.542,40.8411,-12.6349
1746584463.552,40.8165,-12.6335
1746584463.562,40.7920,-12.6321
1746584463.572,40.7674,-12.6307
1746584463.582,40.7429,-12.6292
1746584463.592,40.7183,-12.6278
1746584463.602,40.6938,-12.6263
1746584463.612,40.6693,-12.6248
1746584463.623,40.6437,-12.6241
1746584463.632,40.6191,-12.6226
1746584463.642,40.5946,-12.6210
1746584463.652,40.5701,-12.6193
1746584463.662,40.5456,-12.6177
1746584463.672,40.5211,-12.6160
1746584463.682,40.4966,-12.6143
1746584463.692,40.4721,-12.6126
1746584463.702,40.4476,-12.6109
1746584463.712,40.4231,-12.6092
1746584463.722,40.3986,-12.6074
1746584463.732,40.3742,-12.6057
1746584463.742,40.3498,-12.6039
1746584463.752,40.3254,-12.6022
1746584463.762,40.3011,-12.6004
1746584463.772,40.2768,-12.5986
1746584463.782,40.2525,-12.5968
1746584463.792,40.2282,-12.5949
1746584463.802,40.2040,-12.5930
1746584463.812,40.1797,-12.5911
1746584463.822,40.1555,-12.5891
1746584463.832,40.1313,-12.5871
1746584463.842,40.1072,-12.5851
1746584463.852,40.0830,-12.5830
1746584463.862,40.0588,-12.5809
1746584463.872,40.0347,-12.5787
1746584463.882,40.0106,-12.5765
1746584463.892,39.9865,-12.5743
1746584463.902,39.9624,-12.5720
1746584463.912,39.9383,-12.5698
1746584463.922,39.9142,-12.5674
1746584463.932,39.8902,-12.5651
1746584463.942,39.8662,-12.5628
1746584463.952,39.8422,-12.5604
1746584463.962,39.8182,-12.5581
1746584463.972,39.7942,-12.5557
1746584463.983,39.7702,-12.5533
1746584463.993,39.7463,-12.5509
1746584464.002,39.7223,-12.5486
1746584464.012,39.6984,-12.5461
1746584464.023,39.6745,-12.5437
1746584464.032,39.6505,-12.5413
1746584464.042,39.6266,-12.5388
1746584464.052,39.6027,-12.5363
1746584464.062,39.5788,-12.5338
1746584464.072,39.5549,-12.5312
1746584464.082,39.5311,-12.5287
1746584464.092,39.5072,-12.5261
1746584464.102,39.4834,-12.5234
1746584464.113,39.4595,-12.5208
1746584464.123,39.4357,-12.5181
1746584464.132,39.4119,-12.5153
1746584464.142,39.3882,-12.5126
1746584464.153,39.3644,-12.5098
1746584464.162,39.3406,-12.5069
1746584464.172,39.3169,-12.5040
1746584464.182,39.2932,-12.5011
1746584464.193,39.2684,-12.4929
1746584464.202,39.2446,-12.4898
1746584464.213,39.2209,-12.4867
1746584464.223,39.1971,-12.4835
1746584464.232,39.1733,-12.4803
1746584464.243,39.1495,-12.4771
1746584464.252,39.1258,-12.4738
1746584464.262,39.1020,-12.4706
1746584464.272,39.0782,-12.4673
1746584464.282,39.0545,-12.4640
1746584464.292,39.0307,-12.4606
1746584464.303,39.0070,-12.4572
1746584464.313,38.9832,-12.4539
1746584464.322,38.9595,-12.4505
1746584464.332,38.9357,-12.4470
1746584464.342,38.9120,-12.4436
1746584464.352,38.8882,-12.4401
1746584464.362,38.8645,-12.4365
1746584464.372,38.8407,-12.4330
1746584464.382,38.8170,-12.4294
1746584464.392,38.7932,-12.4257
1746584464.402,38.7694,-12.4220
1746584464.412,38.7456,-12.4183
1746584464.422,38.7219,-12.4146
1746584464.432,38.6981,-12.4108
1746584464.442,38.6743,-12.4070
1746584464.452,38.6505,-12.4032
1746584464.462,38.6267,-12.3994
1746584464.472,38.6029,-12.3956
1746584464.483,38.5791,-12.3917
1746584464.492,38.5553,-12.3878
1746584464.502,38.5315,-12.3840
1746584464.512,38.5077,-12.3800
1746584464.523,38.4839,-12.3761
1746584464.532,38.4601,-12.3721
1746584464.542,38.4363,-12.3681
1746584464.552,38.4124,-12.3641
1746584464.562,38.3886,-12.3600
1746584464.572,38.3647,-12.3559
1746584464.582,38.3408,-12.3517
1746584464.592,38.3170,-12.3475
1746584464.603,38.2931,-12.3433
1746584464.612,38.2692,-12.3390
1746584464.622,38.2453,-12.3347
1746584464.632,38.2214,-12.3303
1746584464.642,38.1974,-12.3259
1746584464.653,38.1735,-12.3214
1746584464.662,38.1496,-12.3170
1746584464.673,38.1256,-12.3124
1746584464.682,38.1017,-12.3079
1746584464.693,38.0820,-12.2961
1746584464.702,38.0581,-12.2914
1746584464.712,38.0342,-12.2866
1746584464.722,38.0102,-12.2818
1746584464.732,37.9863,-12.2769
1746584464.742,37.9623,-12.2720
1746584464.752,37.9383,-12.2671
1746584464.762,37.9143,-12.2621
1746584464.772,37.8903,-12.2570
1746584464.782,37.8663,-12.2519
1746584464.792,37.8423,-12.2468
1746584464.802,37.8183,-12.2416
1746584464.812,37.7942,-12.2364
1746584464.822,37.7702,-12.2311
1746584464.832,37.7462,-12.2259
1746584464.842,37.7221,-12.2206
1746584464.852,37.6981,-12.2152
1746584464.862,37.6740,-12.2099
1746584464.872,37.6499,-12.2044
1746584464.882,37.6258,-12.1990
1746584464.892,37.6017,-12.1935
1746584464.902,37.5776,-12.1880
1746584464.912,37.5535,-12.1824
1746584464.922,37.5293,-12.1768
1746584464.932,37.5051,-12.1712
1746584464.942,37.4810,-12.1655
1746584464.952,37.4568,-12.1598
1746584464.962,37.4326,-12.1540
1746584464.972,37.4084,-12.1482
1746584464.982,37.3842,-12.1423
1746584464.992,37.3600,-12.1364
1746584465.002,37.3358,-12.1304
1746584465.012,37.3115,-12.1243
1746584465.022,37.2873,-12.1182
1746584465.032,37.2631,-12.1121
1746584465.042,37.2389,-12.1059
1746584465.052,37.2146,-12.0997
1746584465.062,37.1904,-12.0934
1746584465.072,37.1661,-12.0871
1746584465.082,37.1418,-12.0807
1746584465.092,37.1176,-12.0743
1746584465.102,37.0933,-12.0679
1746584465.112,37.0690,-12.0613
1746584465.122,37.0447,-12.0548
1746584465.132,37.0204,-12.0482
1746584465.142,36.9961,-12.0416
1746584465.152,36.9718,-12.0350
