Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,block_header.sync_1,block_header.sync_2,block_header.crc,block_header.id,block_header.revision,block_header.length,block_header.tow,block_header.wnc,gnss_mode,error,info,gnss_age,latitude,longitude,height,undulation,accuracy,latency,datum,sb_list,latitude_std_dev,longitude_std_dev,height_std_dev,latitude_longitude_cov,latitude_height_cov,longitude_height_cov,heading,pitch,roll,heading_std_dev,pitch_std_dev,roll_std_dev,heading_pitch_cov,heading_roll_cov,pitch_roll_cov,ve,vn,vu,ve_std_dev,vn_std_dev,vu_std_dev,ve_vn_cov,ve_vu_cov,vn_vu_cov
1746933772.9636405,193702,1746933772,963442366,base_link,36,64,53445,4226,0,116,12190900,2366,4,0,72,40,0.6997503869596946,-1.5399980144314864,200.7460649329562,-33.9179573059082,4,79,0,31,0.011203784495592117,0.009799557738006115,0.014814012683928013,-20000000000.0,-20000000000.0,-20000000000.0,269.1717834472656,-1.4945732355117798,-1.9735782146453857,0.5777177810668945,0.10030972957611084,0.09999541193246841,-20000000000.0,-20000000000.0,-20000000000.0,-0.2938726842403412,0.002236579079180956,-0.003988944459706545,0.00928453542292118,0.009740468114614487,0.009285015054047108,-20000000000.0,-20000000000.0,-20000000000.0
1746933772.9742544,193703,1746933772,974030409,base_link,36,64,32781,4226,0,116,12190910,2366,4,0,72,41,0.6997503869624098,-1.5399980150363601,200.74601796131748,-33.9179573059082,4,81,0,31,0.01143882516771555,0.010025586001574993,0.01502313744276762,-20000000000.0,-20000000000.0,-20000000000.0,269.1706237792969,-1.4941446781158447,-1.9741973876953125,0.5777460932731628,0.10046874731779099,0.10015491396188736,-20000000000.0,-20000000000.0,-20000000000.0,-0.29713213443756104,0.0024757436476647854,-0.004380393773317337,0.00937171932309866,0.009827313013374805,0.009336773306131363,-20000000000.0,-20000000000.0,-20000000000.0
1746933772.9843857,193704,1746933772,984013127,base_link,36,64,15142,4226,0,116,12190920,2366,4,0,72,42,0.6997503869658325,-1.5399980156476476,200.74598281114868,-33.9179573059082,4,79,0,31,0.011676564812660217,0.010254262015223503,0.015233960002660751,-20000000000.0,-20000000000.0,-20000000000.0,269.169189453125,-1.4942269325256348,-1.9745523929595947,0.5777744650840759,0.10062751919031143,0.1003141701221466,-20000000000.0,-20000000000.0,-20000000000.0,-0.30031493306159973,0.0029410822317004204,-0.0037955951411277056,0.009458668529987335,0.009913953021168709,0.009388246573507786,-20000000000.0,-20000000000.0,-20000000000.0
1746933772.9941452,193705,1746933772,993729219,base_link,36,64,13566,4226,0,116,12190930,2366,4,0,72,43,0.6997503869681511,-1.5399980162652775,200.74595721976686,-33.9179573059082,4,79,0,31,0.01191698107868433,0.010485563427209854,0.015446462668478489,-20000000000.0,-20000000000.0,-20000000000.0,269.16796875,-1.4947198629379272,-1.974988579750061,0.577802836894989,0.10078606009483337,0.10047319531440735,-20000000000.0,-20000000000.0,-20000000000.0,-0.3033922016620636,0.0005949923652224243,-0.0030536227859556675,0.009545354172587395,0.010000350885093212,0.009439438581466675,-20000000000.0,-20000000000.0,-20000000000.0
1746933773.004249,193706,1746933773,3702223,base_link,36,64,19173,4226,0,116,12190940,2366,4,0,72,44,0.6997503869714897,-1.5399980168894936,200.74592067097475,-33.9179573059082,5,77,0,31,0.01216005440801382,0.010719467885792255,0.01566062495112419,-20000000000.0,-20000000000.0,-20000000000.0,269.1664123535156,-1.4947060346603394,-1.9753155708312988,0.5778311491012573,0.10094436258077621,0.10063197463750839,-20000000000.0,-20000000000.0,-20000000000.0,-0.30653685331344604,0.0016489397967234254,-0.0036511023063212633,0.009631870314478874,0.010086598806083202,0.009490354917943478,-20000000000.0,-20000000000.0,-20000000000.0
1746933773.0140777,193707,1746933773,13634113,base_link,36,64,19871,4226,0,116,12190950,2366,4,0,72,45,0.6997503869734227,-1.5399980175200256,200.7458960257012,-33.9179573059082,5,78,0,31,0.012405762448906898,0.01095595397055149,0.01587642729282379,-20000000000.0,-20000000000.0,-20000000000.0,269.1651916503906,-1.4952800273895264,-1.9750083684921265,0.5778595805168152,0.10110240429639816,0.10079052299261093,-20000000000.0,-20000000000.0,-20000000000.0,-0.3095704913139343,0.0014582693111151457,-0.0019805901683866978,0.009718186222016811,0.010172692127525806,0.009541002102196217,-20000000000.0,-20000000000.0,-20000000000.0
1746933773.0239916,193708,1746933773,23529144,base_link,36,64,53194,4226,0,116,12190960,2366,4,0,72,46,0.6997503869760077,-1.539998018157115,200.7458673964221,-33.9179573059082,5,78,0,31,0.012654087506234646,0.011195003055036068,0.01609385386109352,-20000000000.0,-20000000000.0,-20000000000.0,269.163818359375,-1.4956533908843994,-1.9751778841018677,0.5778879523277283,0.1012602299451828,0.10094882547855377,-20000000000.0,-20000000000.0,-20000000000.0,-0.3129059374332428,0.0011456096544861794,-0.0035005961544811726,0.009804319590330124,0.010258692316710949,0.009591386653482914,-20000000000.0,-20000000000.0,-20000000000.0
1746933773.033838,193709,1746933773,33483690,base_link,36,64,47158,4226,0,116,12190970,2366,4,0,72,47,0.6997503869782478,-1.5399980188009337,200.74583905249716,-33.9179573059082,5,77,0,31,0.012905013747513294,0.011436598375439644,0.016312887892127037,-20000000000.0,-20000000000.0,-20000000000.0,269.16259765625,-1.4960100650787354,-1.9754257202148438,0.5779163241386414,0.10141780972480774,0.10110688954591751,-20000000000.0,-20000000000.0,-20000000000.0,-0.3161473274230957,0.0014596155378967524,-0.0029982500709593296,0.009890272282063961,0.010344544425606728,0.009641509503126144,-20000000000.0,-20000000000.0,-20000000000.0
1746933773.0440958,193710,1746933773,43586573,base_link,36,64,23790,4226,0,116,12190980,2366,4,0,72,48,0.699750386980096,-1.539998019451687,200.74580822555072,-33.9179573059082,5,80,0,31,0.0131585244089365,0.011680720373988152,0.016533508896827698,-20000000000.0,-20000000000.0,-20000000000.0,269.1614990234375,-1.4962613582611084,-1.9759211540222168,0.5779447555541992,0.10157517343759537,0.10126471519470215,-20000000000.0,-20000000000.0,-20000000000.0,-0.319633424282074,0.0015909733483567834,-0.003472324926406145,0.009975994937121868,0.010430277325212955,0.009691380895674229,-20000000000.0,-20000000000.0,-20000000000.0
1746933773.053789,193711,1746933773,53419868,base_link,36,64,5651,4226,0,116,12190990,2366,4,0,72,49,0.6997503869823084,-1.539998020109325,200.74579088449389,-33.9179573059082,5,79,0,31,0.013414603658020496,0.011927354149520397,0.01675570383667946,-20000000000.0,-20000000000.0,-20000000000.0,269.1603088378906,-1.497166395187378,-1.9758391380310059,0.5779731273651123,0.1017322763800621,0.10142232477664948,-20000000000.0,-20000000000.0,-20000000000.0,-0.3228422701358795,0.0008020142558962107,-0.0014857813948765397,0.010061574168503284,0.010515847243368626,0.009740994311869144,-20000000000.0,-20000000000.0,-20000000000.0
